Date,Category,Region,Weather,Advertising,Discount,Month,Year,Season,Sales,Customer_Count,Profit
2022-01-27,Home Goods,North,Cloudy,1102.17,29.26,January,2022,Winter,3034.84,174,713.75
2022-01-28,Apparel,East,Cloudy,566.58,16.16,January,2022,Winter,2412.04,104,540.67
2022-01-28,Apparel,East,Snowy,616.42,25.54,January,2022,Winter,2588.52,150,707.4
2022-01-29,Electronics,East,Cloudy,1972.86,13.66,January,2022,Winter,3478.41,94,776.36
2022-02-02,Electronics,North,Sunny,1639.42,18.99,February,2022,Winter,3621.08,122,786.16
2022-02-02,Home Goods,South,Cloudy,1819.79,14.24,February,2022,Winter,2920.03,102,623.54
2022-02-04,Home Goods,North,Sunny,1316.76,17.96,February,2022,Winter,2575.29,119,642.95
2022-02-04,Apparel,South,Snowy,1815.86,9.17,February,2022,Winter,3139.02,73,673.84
2022-02-05,Home Goods,North,Rainy,547.13,14.15,February,2022,Winter,2190.92,90,485.74
2022-02-05,Home Goods,West,Sunny,1730.02,28.96,February,2022,Winter,3084.92,175,721.6
2022-02-06,Apparel,East,Rainy,1729.7,6.87,February,2022,Winter,2895.8,57,578.67
2022-02-06,Home Goods,West,Cloudy,1414.45,25.51,February,2022,Winter,2891.25,152,714.11
2022-02-06,Apparel,West,Cloudy,1512.71,23.79,February,2022,Winter,3133.97,143,740.28
2022-02-07,Home Goods,South,Cloudy,851.98,27.25,February,2022,Winter,2472.17,153,597.64
2022-02-08,Home Goods,West,Cloudy,967.98,19.16,February,2022,Winter,2462.63,121,629.83
2022-02-08,Electronics,West,Snowy,1368.76,27.87,February,2022,Winter,3692.94,170,799.75
2022-02-08,Apparel,West,Cloudy,987.88,17.62,February,2022,Winter,2734.74,112,570.49
2022-02-10,Home Goods,West,Rainy,1032.29,29.86,February,2022,Winter,2755.2,170,599.86
2022-02-10,Home Goods,North,Sunny,903.44,8.18,February,2022,Winter,2088.98,74,603.66
2022-02-10,Apparel,South,Cloudy,1095.2,6.07,February,2022,Winter,2387.51,61,634.56
2022-02-11,Home Goods,South,Cloudy,1080.86,18.38,February,2022,Winter,2355.82,112,539.9
2022-02-12,Home Goods,West,Rainy,1141.25,23.75,February,2022,Winter,2605.04,145,654.07
2022-02-15,Apparel,North,Cloudy,1357.71,29.71,February,2022,Winter,3335.09,179,730.95
2022-02-16,Home Goods,East,Cloudy,1665.39,9.43,February,2022,Winter,2655.97,82,582.42
2022-02-16,Apparel,South,Snowy,1092.81,24.84,February,2022,Winter,3065.79,149,743.36
2022-02-16,Home Goods,South,Rainy,575.73,21.26,February,2022,Winter,2367.93,141,559.43
2022-02-17,Electronics,West,Cloudy,1362.17,6.13,February,2022,Winter,3132.67,56,678.35
2022-02-18,Home Goods,East,Snowy,1910.67,11.32,February,2022,Winter,2889.7,84,685.2
2022-02-20,Apparel,South,Rainy,772.61,13.76,February,2022,Winter,2566.99,94,551.17
2022-02-22,Apparel,East,Cloudy,1563.52,16.53,February,2022,Winter,2988.36,105,610.69
2022-02-22,Apparel,West,Snowy,697.54,22.87,February,2022,Winter,2492.55,139,519.8
2022-02-22,Electronics,West,Snowy,1906.07,11.0,February,2022,Winter,3382.12,83,755.66
2022-02-23,Home Goods,South,Snowy,1409.22,18.53,February,2022,Winter,2627.19,125,618.6
2022-02-23,Apparel,South,Cloudy,1012.67,5.51,February,2022,Winter,2547.08,57,625.49
2022-02-27,Home Goods,West,Snowy,1308.22,28.51,February,2022,Winter,2837.5,172,662.82
2022-02-27,Home Goods,West,Snowy,1462.45,6.53,February,2022,Winter,2401.36,59,625.06
2022-02-27,Electronics,West,Cloudy,1923.61,19.59,February,2022,Winter,3742.21,114,853.57
2022-02-27,Electronics,East,Cloudy,1968.44,24.2,February,2022,Winter,3797.18,152,827.85
2022-02-28,Electronics,North,Sunny,1848.27,25.7,February,2022,Winter,3592.36,155,810.19
2022-03-03,Electronics,East,Snowy,724.4,9.95,March,2022,Spring,2339.62,75,605.23
2022-03-04,Home Goods,North,Snowy,1171.2,6.05,March,2022,Spring,1863.67,54,426.29
2022-03-06,Electronics,West,Rainy,559.65,25.51,March,2022,Spring,2531.87,151,502.78
2022-03-10,Electronics,South,Rainy,1547.47,15.59,March,2022,Spring,2995.18,95,777.48
2022-03-10,Apparel,West,Rainy,1016.91,28.17,March,2022,Spring,2661.19,168,618.67
2022-03-11,Electronics,North,Rainy,1516.31,24.76,March,2022,Spring,3065.03,147,713.17
2022-03-13,Home Goods,North,Rainy,1578.62,18.38,March,2022,Spring,2607.12,125,582.21
2022-03-15,Apparel,North,Snowy,1223.4,20.66,March,2022,Spring,2457.98,132,575.08
2022-03-16,Electronics,South,Snowy,1273.49,16.1,March,2022,Spring,2911.71,106,671.12
2022-03-17,Apparel,North,Rainy,1340.14,25.12,March,2022,Spring,2728.95,149,656.97
2022-03-17,Electronics,North,Rainy,828.68,24.59,March,2022,Spring,2941.4,141,722.47
2022-03-21,Apparel,East,Snowy,874.29,24.15,March,2022,Spring,2400.35,149,523.99
2022-03-22,Home Goods,North,Sunny,995.61,11.69,March,2022,Spring,2179.32,80,593.09
2022-03-22,Home Goods,East,Sunny,1318.07,20.96,March,2022,Spring,2373.73,130,630.09
2022-03-27,Electronics,South,Snowy,519.54,26.83,March,2022,Spring,2707.99,161,613.66
2022-03-27,Apparel,West,Sunny,1865.2,10.63,March,2022,Spring,2742.88,78,640.49
2022-03-29,Apparel,North,Sunny,1709.29,15.19,March,2022,Spring,2720.36,100,600.48
2022-03-31,Home Goods,West,Sunny,1727.55,8.19,March,2022,Spring,2469.02,58,505.27
2022-03-31,Electronics,East,Rainy,943.54,12.94,March,2022,Spring,2567.86,90,534.48
2022-04-01,Electronics,North,Snowy,1671.49,5.87,April,2022,Spring,2825.07,48,632.97
2022-04-02,Electronics,South,Rainy,1350.76,23.31,April,2022,Spring,2800.68,136,694.48
2022-04-02,Home Goods,South,Sunny,829.71,19.93,April,2022,Spring,2018.09,130,531.87
2022-04-04,Apparel,South,Rainy,1929.35,5.79,April,2022,Spring,2773.88,56,555.28
2022-04-06,Electronics,South,Sunny,965.13,22.42,April,2022,Spring,2765.39,133,648.32
2022-04-06,Home Goods,North,Snowy,1320.29,5.38,April,2022,Spring,2211.97,55,627.17
2022-04-06,Apparel,West,Cloudy,1253.23,19.99,April,2022,Spring,2557.06,127,553.09
2022-04-09,Apparel,East,Rainy,1448.13,16.96,April,2022,Spring,2753.46,106,628.88
2022-04-09,Home Goods,North,Cloudy,546.29,10.34,April,2022,Spring,1687.96,79,405.66
2022-04-09,Home Goods,West,Snowy,747.81,14.33,April,2022,Spring,1791.03,96,418.43
2022-04-09,Electronics,East,Cloudy,708.67,18.86,April,2022,Spring,2550.48,114,620.68
2022-04-09,Home Goods,West,Snowy,1156.22,27.11,April,2022,Spring,2391.71,167,586.75
2022-04-09,Home Goods,South,Rainy,1690.09,9.15,April,2022,Spring,2316.9,71,551.53
2022-04-09,Electronics,West,Cloudy,1133.58,18.0,April,2022,Spring,2797.05,107,748.51
2022-04-10,Electronics,North,Snowy,880.96,5.71,April,2022,Spring,2316.62,51,485.62
2022-04-10,Apparel,East,Snowy,1272.03,25.86,April,2022,Spring,2578.22,147,593.89
2022-04-13,Home Goods,North,Sunny,1373.31,27.83,April,2022,Spring,2604.45,161,725.67
2022-04-13,Apparel,West,Sunny,1819.73,15.28,April,2022,Spring,2861.15,101,700.95
2022-04-14,Apparel,East,Cloudy,688.59,24.9,April,2022,Spring,2277.0,139,655.88
2022-04-14,Electronics,West,Cloudy,1098.65,29.67,April,2022,Spring,2909.97,163,633.62
2022-04-16,Apparel,South,Snowy,1290.9,26.4,April,2022,Spring,2782.63,163,664.53
2022-04-16,Apparel,West,Rainy,901.67,21.97,April,2022,Spring,2331.28,129,609.6
2022-04-17,Electronics,North,Snowy,630.77,17.49,April,2022,Spring,2440.49,115,507.95
2022-04-19,Electronics,West,Cloudy,1223.75,5.16,April,2022,Spring,2549.98,47,615.83
2022-04-22,Home Goods,West,Cloudy,536.75,22.67,April,2022,Spring,2144.84,135,434.55
2022-04-23,Apparel,North,Snowy,1062.21,15.37,April,2022,Spring,2365.29,96,581.91
2022-04-23,Home Goods,South,Snowy,813.3,12.8,April,2022,Spring,1960.4,81,507.04
2022-04-23,Electronics,South,Cloudy,1410.32,21.9,April,2022,Spring,2849.87,129,700.01
2022-04-25,Apparel,North,Rainy,1190.0,14.49,April,2022,Spring,2454.94,99,540.54
2022-04-26,Electronics,West,Rainy,774.21,10.93,April,2022,Spring,2485.52,74,472.67
2022-04-27,Apparel,West,Sunny,638.14,20.06,April,2022,Spring,2317.9,116,531.71
2022-04-27,Electronics,North,Rainy,1245.97,17.15,April,2022,Spring,2639.8,113,624.13
2022-04-28,Home Goods,South,Cloudy,1187.9,7.65,April,2022,Spring,2116.33,58,512.3
2022-04-30,Home Goods,North,Rainy,1449.36,25.67,April,2022,Spring,2646.05,144,588.39
2022-04-30,Home Goods,North,Cloudy,1714.79,12.47,April,2022,Spring,2585.23,81,647.88
2022-05-02,Apparel,West,Cloudy,1551.3,14.07,May,2022,Spring,2805.0,96,653.38
2022-05-02,Apparel,East,Sunny,786.89,17.5,May,2022,Spring,2087.59,114,545.69
2022-05-03,Home Goods,North,Cloudy,1725.14,21.11,May,2022,Spring,2718.18,131,588.83
2022-05-04,Apparel,West,Cloudy,1030.19,16.34,May,2022,Spring,2379.67,104,561.14
2022-05-05,Electronics,West,Rainy,834.9,18.58,May,2022,Spring,2415.45,122,629.61
2022-05-06,Home Goods,South,Cloudy,1911.91,7.93,May,2022,Spring,2575.13,63,676.06
2022-05-07,Apparel,North,Sunny,1123.46,28.75,May,2022,Spring,2636.15,167,632.75
2022-05-08,Apparel,West,Snowy,657.21,22.56,May,2022,Spring,2234.47,140,509.19
2022-05-09,Apparel,South,Sunny,1175.7,21.19,May,2022,Spring,2644.6,129,638.57
2022-05-10,Electronics,West,Snowy,1740.22,26.53,May,2022,Spring,3236.31,155,733.31
2022-05-11,Apparel,South,Rainy,691.18,16.55,May,2022,Spring,2159.19,98,581.49
2022-05-11,Home Goods,East,Cloudy,634.72,10.18,May,2022,Spring,1809.43,74,564.32
2022-05-11,Home Goods,East,Snowy,659.52,22.82,May,2022,Spring,1851.51,144,455.77
2022-05-12,Electronics,East,Cloudy,625.88,21.2,May,2022,Spring,2439.41,128,572.61
2022-05-13,Home Goods,East,Cloudy,1423.87,7.33,May,2022,Spring,2300.35,62,582.61
2022-05-14,Apparel,North,Snowy,1330.07,17.79,May,2022,Spring,2457.49,110,611.4
2022-05-15,Apparel,North,Snowy,916.73,6.75,May,2022,Spring,2097.17,55,496.19
2022-05-15,Home Goods,South,Cloudy,828.91,5.4,May,2022,Spring,1738.15,43,454.94
2022-05-19,Electronics,South,Sunny,1211.43,16.98,May,2022,Spring,2744.44,113,604.7
2022-05-23,Apparel,East,Sunny,1312.99,7.84,May,2022,Spring,2376.97,65,535.22
2022-05-23,Apparel,North,Sunny,900.88,20.93,May,2022,Spring,2489.12,127,660.11
2022-05-24,Apparel,South,Snowy,1152.99,22.44,May,2022,Spring,2572.11,147,608.16
2022-05-24,Home Goods,North,Sunny,687.69,11.94,May,2022,Spring,1753.93,76,433.1
2022-05-24,Apparel,East,Rainy,698.56,22.13,May,2022,Spring,2276.01,136,680.35
2022-05-24,Apparel,South,Rainy,546.19,14.9,May,2022,Spring,2163.58,96,508.82
2022-05-25,Electronics,West,Sunny,999.55,11.34,May,2022,Spring,2533.29,72,686.24
2022-05-27,Apparel,South,Sunny,1237.9,22.57,May,2022,Spring,2573.79,128,570.44
2022-05-28,Electronics,South,Rainy,953.67,6.66,May,2022,Spring,2331.49,60,600.77
2022-05-29,Home Goods,South,Sunny,1288.63,28.6,May,2022,Spring,2417.57,165,558.48
2022-05-30,Home Goods,East,Snowy,1462.79,13.67,May,2022,Spring,2382.7,94,503.21
2022-05-31,Apparel,North,Rainy,589.21,20.08,May,2022,Spring,2201.52,121,605.44
2022-05-31,Electronics,North,Sunny,1506.58,11.2,May,2022,Spring,2773.97,79,606.98
2022-06-01,Home Goods,North,Rainy,566.24,10.49,June,2022,Summer,1510.34,72,354.44
2022-06-02,Apparel,West,Cloudy,1365.56,24.51,June,2022,Summer,2458.31,141,560.08
2022-06-03,Apparel,East,Rainy,1188.45,22.49,June,2022,Summer,2315.28,119,506.63
2022-06-04,Electronics,North,Rainy,1694.36,20.66,June,2022,Summer,2812.91,124,652.17
2022-06-06,Home Goods,North,Rainy,1110.46,12.14,June,2022,Summer,2026.85,86,585.83
2022-06-07,Electronics,East,Sunny,1347.48,19.33,June,2022,Summer,2524.75,117,619.4
2022-06-09,Electronics,North,Sunny,1298.74,18.73,June,2022,Summer,2700.56,115,708.83
2022-06-09,Apparel,East,Snowy,1000.11,15.96,June,2022,Summer,2064.11,96,517.54
2022-06-09,Apparel,North,Cloudy,1433.06,20.48,June,2022,Summer,2442.86,124,638.6
2022-06-10,Home Goods,East,Rainy,816.67,13.68,June,2022,Summer,1839.44,95,325.09
2022-06-10,Electronics,West,Sunny,1040.57,25.15,June,2022,Summer,2510.13,149,521.35
2022-06-10,Electronics,North,Rainy,1213.11,19.75,June,2022,Summer,2388.92,118,581.69
2022-06-11,Electronics,North,Cloudy,1287.86,28.63,June,2022,Summer,2836.11,159,676.2
2022-06-12,Apparel,South,Rainy,863.35,14.89,June,2022,Summer,2065.64,91,500.59
2022-06-12,Home Goods,West,Snowy,1764.92,15.26,June,2022,Summer,2108.57,103,563.56
2022-06-14,Apparel,West,Rainy,1441.99,15.19,June,2022,Summer,2416.43,98,479.49
2022-06-16,Apparel,North,Snowy,674.29,7.05,June,2022,Summer,1821.51,54,506.08
2022-06-16,Apparel,East,Cloudy,1972.7,23.05,June,2022,Summer,2826.67,148,644.17
2022-06-17,Home Goods,North,Snowy,1437.54,22.35,June,2022,Summer,2208.84,127,601.89
2022-06-17,Home Goods,East,Sunny,1578.74,29.06,June,2022,Summer,2564.94,164,632.48
2022-06-19,Electronics,East,Rainy,974.82,18.82,June,2022,Summer,2190.34,118,641.85
2022-06-20,Electronics,South,Sunny,1743.53,16.1,June,2022,Summer,2735.4,105,643.15
2022-06-21,Apparel,West,Sunny,1740.07,13.44,June,2022,Summer,2388.65,91,581.52
2022-06-22,Home Goods,West,Cloudy,517.22,13.8,June,2022,Summer,1563.89,79,388.81
2022-06-22,Electronics,West,Rainy,1176.03,8.38,June,2022,Summer,2261.78,72,568.39
2022-06-23,Apparel,West,Cloudy,1713.18,23.19,June,2022,Summer,2508.45,135,613.91
2022-06-25,Electronics,North,Cloudy,1202.23,24.33,June,2022,Summer,2766.02,141,705.18
2022-06-26,Apparel,West,Rainy,1442.65,19.14,June,2022,Summer,2281.39,119,529.7
2022-06-27,Home Goods,West,Sunny,1033.96,26.29,June,2022,Summer,2116.35,155,561.34
2022-06-29,Home Goods,North,Cloudy,880.73,27.82,June,2022,Summer,2296.12,164,480.45
2022-06-30,Home Goods,East,Cloudy,1766.37,10.8,June,2022,Summer,2376.42,77,502.71
2022-07-01,Apparel,East,Rainy,1600.23,18.38,July,2022,Summer,2596.58,115,647.74
2022-07-03,Electronics,West,Rainy,725.78,6.36,July,2022,Summer,2037.6,60,612.39
2022-07-05,Electronics,East,Rainy,1859.86,19.15,July,2022,Summer,2859.27,125,655.41
2022-07-06,Home Goods,West,Cloudy,1187.7,16.37,July,2022,Summer,1947.91,99,568.98
2022-07-07,Home Goods,East,Snowy,907.35,16.63,July,2022,Summer,1945.42,97,477.05
2022-07-08,Home Goods,North,Cloudy,1290.85,11.35,July,2022,Summer,2135.83,78,482.47
2022-07-09,Apparel,East,Sunny,1055.08,25.61,July,2022,Summer,2368.52,149,624.15
2022-07-09,Home Goods,North,Sunny,1123.92,10.27,July,2022,Summer,1795.56,72,483.43
2022-07-09,Electronics,East,Rainy,1534.67,20.08,July,2022,Summer,2733.6,129,587.1
2022-07-09,Apparel,East,Rainy,840.1,10.79,July,2022,Summer,1875.47,63,503.06
2022-07-09,Electronics,East,Cloudy,1608.54,21.95,July,2022,Summer,2896.62,130,690.38
2022-07-10,Home Goods,North,Cloudy,1393.04,11.34,July,2022,Summer,2018.4,80,491.22
2022-07-10,Electronics,South,Snowy,917.66,28.71,July,2022,Summer,2496.23,170,573.77
2022-07-11,Electronics,East,Snowy,1010.57,23.01,July,2022,Summer,2544.71,131,632.73
2022-07-11,Apparel,East,Rainy,800.84,11.86,July,2022,Summer,1989.68,79,513.81
2022-07-11,Apparel,North,Rainy,1010.56,24.64,July,2022,Summer,2287.46,135,536.96
2022-07-13,Home Goods,North,Sunny,1902.95,18.69,July,2022,Summer,2544.91,114,630.75
2022-07-14,Apparel,West,Rainy,550.5,18.07,July,2022,Summer,1838.76,107,524.24
2022-07-15,Electronics,East,Snowy,571.46,7.28,July,2022,Summer,1902.39,59,546.55
2022-07-15,Electronics,East,Cloudy,1985.31,9.73,July,2022,Summer,2701.95,72,666.96
2022-07-17,Electronics,West,Snowy,1596.23,6.06,July,2022,Summer,2545.12,53,618.74
2022-07-20,Electronics,West,Sunny,1827.45,23.91,July,2022,Summer,3101.01,149,705.16
2022-07-20,Home Goods,West,Cloudy,1398.68,9.29,July,2022,Summer,2092.37,57,528.57
2022-07-20,Electronics,North,Cloudy,1725.02,23.23,July,2022,Summer,2876.29,143,650.59
2022-07-21,Home Goods,West,Cloudy,548.97,22.42,July,2022,Summer,1700.76,131,452.76
2022-07-22,Apparel,North,Sunny,675.6,14.45,July,2022,Summer,1679.99,88,509.72
2022-07-22,Apparel,East,Snowy,1999.57,20.79,July,2022,Summer,2867.16,125,634.28
2022-07-23,Apparel,East,Sunny,1659.63,7.89,July,2022,Summer,2303.6,59,513.74
2022-07-25,Home Goods,South,Snowy,1815.89,11.09,July,2022,Summer,2462.73,69,700.7
2022-07-26,Apparel,South,Snowy,638.43,20.14,July,2022,Summer,1853.43,121,408.92
2022-07-27,Apparel,North,Sunny,1991.97,8.89,July,2022,Summer,2519.96,49,660.2
2022-08-01,Electronics,West,Cloudy,761.12,5.03,August,2022,Summer,2008.85,40,406.11
2022-08-03,Electronics,South,Snowy,1153.26,19.97,August,2022,Summer,2485.14,116,565.12
2022-08-03,Electronics,West,Snowy,646.27,9.08,August,2022,Summer,1983.58,64,479.02
2022-08-05,Home Goods,East,Rainy,1005.45,24.5,August,2022,Summer,2134.64,144,585.68
2022-08-05,Home Goods,South,Sunny,870.7,8.05,August,2022,Summer,1789.09,67,405.91
2022-08-05,Home Goods,North,Snowy,1956.15,22.43,August,2022,Summer,2557.08,134,640.33
2022-08-06,Apparel,North,Rainy,1744.38,22.83,August,2022,Summer,2798.4,138,708.68
2022-08-06,Electronics,East,Sunny,848.06,18.09,August,2022,Summer,2260.39,109,557.66
2022-08-08,Home Goods,South,Cloudy,654.68,20.95,August,2022,Summer,1919.73,125,603.02
2022-08-08,Home Goods,East,Snowy,1032.56,11.16,August,2022,Summer,1846.89,74,465.98
2022-08-08,Electronics,South,Cloudy,694.89,23.24,August,2022,Summer,2375.04,132,606.14
2022-08-08,Apparel,South,Sunny,1956.11,19.24,August,2022,Summer,2716.88,119,643.61
2022-08-11,Electronics,North,Sunny,868.71,19.14,August,2022,Summer,2443.76,111,576.4
2022-08-11,Home Goods,South,Rainy,686.57,17.83,August,2022,Summer,1807.68,114,485.51
2022-08-13,Electronics,South,Snowy,752.51,20.83,August,2022,Summer,2114.59,122,585.75
2022-08-13,Apparel,South,Sunny,541.13,20.75,August,2022,Summer,1950.55,117,466.93
2022-08-13,Apparel,North,Cloudy,1770.71,25.03,August,2022,Summer,2794.71,148,607.13
2022-08-14,Home Goods,North,Cloudy,737.94,28.31,August,2022,Summer,2091.68,164,486.72
2022-08-15,Electronics,West,Sunny,1531.11,25.73,August,2022,Summer,2711.0,151,498.97
2022-08-15,Electronics,South,Snowy,1908.59,28.58,August,2022,Summer,3149.31,171,694.85
2022-08-17,Home Goods,East,Cloudy,1418.39,5.46,August,2022,Summer,1870.95,45,491.04
2022-08-18,Apparel,South,Snowy,954.79,25.45,August,2022,Summer,2351.58,147,554.99
2022-08-18,Apparel,North,Snowy,840.09,26.77,August,2022,Summer,2122.97,152,660.02
2022-08-19,Home Goods,South,Sunny,1456.82,18.95,August,2022,Summer,2200.28,116,585.13
2022-08-19,Electronics,West,Sunny,827.76,28.56,August,2022,Summer,2224.51,167,495.82
2022-08-19,Apparel,East,Snowy,518.46,27.21,August,2022,Summer,2143.51,155,622.07
2022-08-21,Apparel,West,Cloudy,703.68,5.34,August,2022,Summer,1747.99,46,499.61
2022-08-21,Apparel,North,Rainy,1441.23,10.31,August,2022,Summer,2242.69,61,484.37
2022-08-21,Home Goods,North,Cloudy,1292.87,29.63,August,2022,Summer,2440.2,175,638.31
2022-08-21,Apparel,East,Sunny,1448.24,22.26,August,2022,Summer,2477.82,127,618.99
2022-08-22,Home Goods,West,Sunny,1762.59,5.14,August,2022,Summer,2156.89,46,418.19
2022-08-23,Apparel,South,Cloudy,1251.63,12.94,August,2022,Summer,2319.53,88,701.74
2022-08-25,Apparel,West,Rainy,1846.51,15.27,August,2022,Summer,2516.68,78,554.74
2022-08-29,Home Goods,South,Snowy,1832.06,19.71,August,2022,Summer,2458.33,120,598.43
2022-08-30,Apparel,North,Sunny,1174.76,18.3,August,2022,Summer,2280.48,112,563.7
2022-08-31,Apparel,North,Cloudy,1099.05,23.71,August,2022,Summer,2384.31,144,494.09
2022-09-01,Apparel,West,Snowy,1132.17,24.86,September,2022,Fall,2865.54,142,695.46
2022-09-03,Home Goods,East,Rainy,1523.29,16.64,September,2022,Fall,2512.96,104,651.99
2022-09-04,Electronics,South,Sunny,1317.24,26.59,September,2022,Fall,3186.44,155,735.93
2022-09-04,Apparel,North,Sunny,1929.53,10.66,September,2022,Fall,2866.12,80,544.78
2022-09-09,Apparel,East,Snowy,1011.22,28.79,September,2022,Fall,2718.16,171,670.44
2022-09-09,Home Goods,South,Snowy,608.17,8.53,September,2022,Fall,1681.95,70,362.82
2022-09-10,Apparel,West,Rainy,1656.11,8.18,September,2022,Fall,2699.86,61,601.51
2022-09-10,Apparel,North,Sunny,694.4,28.62,September,2022,Fall,2534.52,163,597.21
2022-09-10,Home Goods,East,Rainy,1928.7,21.57,September,2022,Fall,2908.77,122,628.76
2022-09-10,Electronics,West,Rainy,1644.66,27.68,September,2022,Fall,3472.11,160,760.73
2022-09-10,Apparel,North,Snowy,1638.87,18.83,September,2022,Fall,2684.85,119,661.38
2022-09-11,Electronics,East,Cloudy,1290.84,16.87,September,2022,Fall,3002.69,110,653.17
2022-09-11,Electronics,West,Rainy,920.5,7.46,September,2022,Fall,2649.43,69,590.04
2022-09-11,Electronics,North,Cloudy,1753.11,23.63,September,2022,Fall,3349.31,147,757.73
2022-09-13,Apparel,North,Snowy,1451.51,5.16,September,2022,Fall,2510.1,44,619.3
2022-09-13,Electronics,North,Sunny,1000.41,16.52,September,2022,Fall,2749.69,110,646.81
2022-09-15,Home Goods,South,Sunny,548.93,28.43,September,2022,Fall,2364.62,174,500.58
2022-09-16,Electronics,South,Sunny,822.0,5.7,September,2022,Fall,2352.49,53,543.5
2022-09-16,Apparel,West,Sunny,1009.65,7.36,September,2022,Fall,2438.8,65,653.94
2022-09-20,Home Goods,South,Cloudy,967.85,13.69,September,2022,Fall,2195.35,86,488.76
2022-09-21,Electronics,South,Sunny,1565.2,9.12,September,2022,Fall,2737.07,66,591.02
2022-09-22,Apparel,West,Sunny,1671.1,6.31,September,2022,Fall,2671.39,51,694.38
2022-09-25,Electronics,North,Cloudy,722.27,6.17,September,2022,Fall,2463.38,47,587.75
2022-09-25,Apparel,North,Cloudy,720.59,12.72,September,2022,Fall,2189.52,90,495.42
2022-09-26,Apparel,East,Rainy,972.72,26.62,September,2022,Fall,2823.67,147,721.62
2022-09-27,Apparel,East,Sunny,1933.74,15.98,September,2022,Fall,2948.37,116,668.72
2022-09-28,Electronics,East,Sunny,669.41,25.84,September,2022,Fall,2786.27,154,738.94
2022-09-28,Electronics,East,Cloudy,623.31,7.86,September,2022,Fall,2469.2,64,596.51
2022-09-29,Electronics,North,Sunny,1992.47,7.07,September,2022,Fall,3349.11,57,780.4
2022-09-30,Electronics,North,Rainy,1643.72,15.77,September,2022,Fall,3165.83,98,749.71
2022-10-01,Apparel,West,Rainy,1432.02,14.62,October,2022,Fall,2620.12,85,620.46
2022-10-04,Home Goods,South,Rainy,728.49,9.98,October,2022,Fall,1927.86,68,505.22
2022-10-04,Apparel,South,Cloudy,823.29,16.16,October,2022,Fall,2348.87,109,559.89
2022-10-04,Electronics,South,Sunny,1822.99,23.54,October,2022,Fall,3358.45,146,677.79
2022-10-04,Home Goods,West,Cloudy,1087.74,10.93,October,2022,Fall,2241.36,81,556.39
2022-10-06,Electronics,East,Sunny,688.03,16.36,October,2022,Fall,2561.21,105,597.4
2022-10-07,Apparel,West,Snowy,950.73,23.69,October,2022,Fall,2523.04,140,588.44
2022-10-07,Home Goods,North,Sunny,674.03,20.59,October,2022,Fall,2119.64,122,519.56
2022-10-10,Electronics,South,Snowy,1580.98,15.07,October,2022,Fall,3169.53,100,670.46
